id,altitude,api_id,country,country_code,latitude,locality,longitude,name,reference,wikipedia
41,12,circuit_Vr7BAOms,USA,USA,33.7651,California,-118.189,Long Beach,long_beach,"https://en.wikipedia.org/wiki/Long_Beach,_California"
42,583,circuit_ZO7DAYW0,Japan,JPN,35.3717,Oyama,138.927,Fuji Speedway,fuji,https://en.wikipedia.org/wiki/Fuji_Speedway
43,1126,circuit_DyjUw48o,Brazil,BRA,-22.9756,Rio de Janeiro,-43.395,Autódromo Internacional Nelson Piquet,jacarepagua,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
44,13,circuit_xo04lqNS,Canada,CAN,45.5,Montreal,-73.5228,Circuit Gilles Villeneuve,villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
45,37,circuit_9GnkDt5q,Italy,ITA,44.3439,Imola,11.7167,Autodromo Enzo e Dino Ferrari,imola,https://en.wikipedia.org/wiki/Imola_Circuit
46,639,circuit_Fw7iHiGQ,USA,USA,36.1162,Nevada,-115.174,Las Vegas Street Circuit,las_vegas,https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit
47,177,circuit_wOWbuY56,USA,USA,42.3298,Detroit,-83.0401,Detroit Street Circuit,detroit,https://en.wikipedia.org/wiki/Detroit_street_circuit
48,139,circuit_qMPxaD6E,USA,USA,32.7774,Dallas,-96.7587,Fair Park,dallas,https://en.wikipedia.org/wiki/Fair_Park
49,130,circuit_oWx6MNZJ,Portugal,PRT,38.7506,Estoril,-9.39417,Autódromo do Estoril,estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril
50,58,circuit_KQC3rMYo,Australia,AUS,-34.9272,Adelaide,138.617,Adelaide Street Circuit,adelaide,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit
51,37,circuit_P5XGjz0y,Spain,ESP,36.7083,Jerez de la Frontera,-6.03417,Circuito de Jerez,jerez,https://en.wikipedia.org/wiki/Circuito_de_Jerez
52,264,circuit_pd4fBIQZ,Hungary,HUN,47.5789,Budapest,19.2486,Hungaroring,hungaroring,https://en.wikipedia.org/wiki/Hungaroring
53,45,circuit_0Bbz8sT8,Japan,JPN,34.8431,Suzuka,136.541,Suzuka Circuit,suzuka,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course
54,345,circuit_mhCuvkoQ,USA,USA,33.4479,Phoenix,-112.075,Phoenix street circuit,phoenix,https://en.wikipedia.org/wiki/Phoenix_street_circuit
55,228,circuit_rO014AKV,France,FRA,46.8642,Magny Cours,3.16361,Circuit de Nevers Magny-Cours,magny_cours,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
56,109,circuit_Yxr9ajWK,Spain,ESP,41.57,Barcelona,2.26111,Circuit de Barcelona-Catalunya,catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
57,88,circuit_ej92Jo6k,UK,GBR,52.8306,Castle Donington,-1.37528,Donington Park,donington,https://en.wikipedia.org/wiki/Donington_Park
58,266,circuit_76Uis5UU,Japan,JPN,34.915,Okayama,134.221,Okayama International Circuit,okayama,https://en.wikipedia.org/wiki/Okayama_International_Circuit
59,10,circuit_5jHWvmoM,Australia,AUS,-37.8497,Melbourne,144.968,Albert Park Grand Prix Circuit,albert_park,https://en.wikipedia.org/wiki/Albert_Park_Circuit
60,18,circuit_tqQTg7rI,Malaysia,MYS,2.76083,Kuala Lumpur,101.738,Sepang International Circuit,sepang,https://en.wikipedia.org/wiki/Sepang_International_Circuit
61,7,circuit_vgMkq5S2,Bahrain,BHR,26.0325,Sakhir,50.5106,Bahrain International Circuit,bahrain,https://en.wikipedia.org/wiki/Bahrain_International_Circuit
62,5,circuit_UZRLsrE2,China,CHN,31.3389,Shanghai,121.22,Shanghai International Circuit,shanghai,https://en.wikipedia.org/wiki/Shanghai_International_Circuit
63,130,circuit_wXzpDITo,Turkey,TUR,40.9517,Istanbul,29.405,Istanbul Park,istanbul,https://en.wikipedia.org/wiki/Istanbul_Park
64,4,circuit_UmwRSrTe,Spain,ESP,39.4589,Valencia,-0.331667,Valencia Street Circuit,valencia,https://en.wikipedia.org/wiki/Valencia_Street_Circuit
65,18,circuit_DAiie4ft,Singapore,SGP,1.2914,Marina Bay,103.864,Marina Bay Street Circuit,marina_bay,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
66,3,circuit_6MnmIQpm,UAE,ARE,24.4672,Abu Dhabi,54.6031,Yas Marina Circuit,yas_marina,https://en.wikipedia.org/wiki/Yas_Marina_Circuit
67,0,circuit_cYm9Rest,Korea,KOR,34.7333,Yeongam County,126.417,Korean International Circuit,yeongam,https://en.wikipedia.org/wiki/Korea_International_Circuit
68,194,circuit_mohVtWhM,India,IND,28.3487,Uttar Pradesh,77.5331,Buddh International Circuit,buddh,https://en.wikipedia.org/wiki/Buddh_International_Circuit
69,161,circuit_C8L45nCq,USA,USA,30.1328,Austin,-97.6411,Circuit of the Americas,americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,2,circuit_ekInJG5X,Russia,RUS,43.4057,Sochi,39.9578,Sochi Autodrom,sochi,https://en.wikipedia.org/wiki/Sochi_Autodrom
71,-7,circuit_l6rYoxTr,Azerbaijan,AZE,40.3725,Baku,49.8533,Baku City Circuit,baku,https://en.wikipedia.org/wiki/Baku_City_Circuit
72,255,circuit_768Ch5u7,Italy,ITA,43.9975,Mugello,11.3719,Autodromo Internazionale del Mugello,mugello,https://en.wikipedia.org/wiki/Mugello_Circuit
73,108,circuit_J9ijT6JU,Portugal,PRT,37.227,Portimão,-8.6267,Autódromo Internacional do Algarve,portimao,https://en.wikipedia.org/wiki/Algarve_International_Circuit
74,12,circuit_2ZoWBxNn,Qatar,QAT,25.49,Lusail,51.4542,Losail International Circuit,losail,https://en.wikipedia.org/wiki/Lusail_International_Circuit
75,15,circuit_gtqp9VKv,Saudi Arabia,SAU,21.6319,Jeddah,39.1044,Jeddah Corniche Circuit,jeddah,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit
76,0,circuit_nukLDdFs,USA,USA,25.9581,Miami,-80.2389,Miami International Autodrome,miami,https://en.wikipedia.org/wiki/Miami_International_Autodrome
77,642,circuit_MGz9yps6,USA,USA,36.1147,Las Vegas,-115.173,Las Vegas Strip Street Circuit,vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
79,697,circuit_AkJjYbDY,Spain,ESP,,Madrid,,Madring,madring,https://en.wikipedia.org/wiki/Madring
